label,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
N,0.6638177633285522,0.4794561564922333,-2.358861905804588e-07,0.6227802038192749,0.4604770839214325,-0.005492605734616518,0.6013261675834656,0.42127686738967896,-0.010766460560262203,0.6139665246009827,0.378707617521286,-0.018798615783452988,0.6324729919433594,0.34545865654945374,-0.02605929784476757,0.6033591032028198,0.38690683245658875,0.0037914724089205265,0.5873559713363647,0.3544110953807831,-0.01704585738480091,0.5893297791481018,0.3746829330921173,-0.03165164589881897,0.5960125923156738,0.40302008390426636,-0.037358272820711136,0.6251535415649414,0.37572792172431946,-0.0024021975696086884,0.608429491519928,0.3370021879673004,-0.024773459881544113,0.6088696718215942,0.3671318292617798,-0.03441646322607994,0.6141883730888367,0.40280425548553467,-0.03381578251719475,0.6500000357627869,0.37182050943374634,-0.011377348564565182,0.6384090781211853,0.3537910282611847,-0.0334283709526062,0.6385887265205383,0.3998732566833496,-0.03247351571917534,0.6398382782936096,0.436588317155838,-0.02367972955107689,0.6769846677780151,0.37490689754486084,-0.02087816596031189,0.6616675853729248,0.3557683229446411,-0.03277201950550079,0.6603060960769653,0.3898603916168213,-0.026127945631742477,0.661625862121582,0.41913965344429016,-0.01648012548685074
N,0.6673040986061096,0.47342488169670105,-2.2622967321694887e-07,0.6259533166885376,0.4541473388671875,-0.006171313114464283,0.6047797799110413,0.41206368803977966,-0.01135525107383728,0.6188340187072754,0.36943644285202026,-0.01933232694864273,0.639658510684967,0.33836159110069275,-0.026466969400644302,0.6076976656913757,0.3771934509277344,0.0043886504136025906,0.5933705568313599,0.3450368344783783,-0.0168562401086092,0.5960955023765564,0.36735767126083374,-0.03206183761358261,0.6029640436172485,0.3966248631477356,-0.03815256804227829,0.6300523281097412,0.36623042821884155,-0.001482347957789898,0.6157387495040894,0.32819893956184387,-0.024148913100361824,0.6158778667449951,0.3588337302207947,-0.03465284779667854,0.6203528046607971,0.39497438073158264,-0.03458874672651291,0.6549851894378662,0.3632969260215759,-0.010287381708621979,0.6455384492874146,0.34522745013237,-0.03293164074420929,0.6443496942520142,0.3930067718029022,-0.032986123114824295,0.6441090106964111,0.4313414692878723,-0.02474238909780979,0.6812180876731873,0.36803939938545227,-0.019645512104034424,0.6676720976829529,0.35152697563171387,-0.03247043117880821,0.6652677059173584,0.38703688979148865,-0.026845235377550125,0.6655200123786926,0.4170839786529541,-0.017706425860524178
N,0.6674532294273376,0.4715650677680969,-2.277978268239167e-07,0.625028133392334,0.45119959115982056,-0.0061265225522220135,0.6030922532081604,0.40973174571990967,-0.01189577579498291,0.6180941462516785,0.36760008335113525,-0.02046624943614006,0.6398546099662781,0.33659684658050537,-0.02831205539405346,0.6063170433044434,0.3725307285785675,0.004045894835144281,0.5916655659675598,0.340584397315979,-0.017721867188811302,0.5944264531135559,0.3625679016113281,-0.03384367749094963,0.6014769077301025,0.392149418592453,-0.04077853634953499,0.6289114356040955,0.36023756861686707,-0.002294244011864066,0.6145785450935364,0.322783499956131,-0.02521405927836895,0.6149744987487793,0.35524842143058777,-0.03574715554714203,0.6196469664573669,0.39303362369537354,-0.03592189401388168,0.654546320438385,0.3570796847343445,-0.01162717491388321,0.6445435285568237,0.33911576867103577,-0.034107454121112823,0.643084704875946,0.388043075799942,-0.03379913046956062,0.6425377130508423,0.42749038338661194,-0.02569550648331642,0.681694746017456,0.36234021186828613,-0.021643932908773422,0.6685927510261536,0.3467254042625427,-0.03464552387595177,0.6658620238304138,0.3836747407913208,-0.02895163744688034,0.6653575897216797,0.41442057490348816,-0.01995321735739708
N,0.670663595199585,0.4696577191352844,-2.2744254124518193e-07,0.6270304918289185,0.44891345500946045,-0.006156295072287321,0.6055542230606079,0.4077991843223572,-0.01203055027872324,0.6199824213981628,0.36443546414375305,-0.02083335630595684,0.6409479975700378,0.33195096254348755,-0.028917694464325905,0.6083700656890869,0.37181544303894043,0.004617623053491116,0.5935912728309631,0.33948400616645813,-0.017807630822062492,0.5960839986801147,0.3614291548728943,-0.03444454446434975,0.6022139191627502,0.3906838893890381,-0.04155099764466286,0.631129264831543,0.3597663342952728,-0.0019840265158563852,0.616449236869812,0.32067009806632996,-0.026314040645956993,0.6166382431983948,0.35338255763053894,-0.037887368351221085,0.6207922697067261,0.3916584551334381,-0.03828495368361473,0.6569417715072632,0.35576504468917847,-0.011587468907237053,0.6464805006980896,0.3386434316635132,-0.03512118011713028,0.6452228426933289,0.38736405968666077,-0.03544996306300163,0.6448259353637695,0.4267973303794861,-0.027231523767113686,0.6842647194862366,0.3594192862510681,-0.021868884563446045,0.670871913433075,0.34379634261131287,-0.03487125039100647,0.6691343188285828,0.38000184297561646,-0.02911636233329773,0.669654369354248,0.410339891910553,-0.019881615415215492
N,0.6740511655807495,0.4687400758266449,-2.5374225742780254e-07,0.6297531127929688,0.44427022337913513,-0.006178603507578373,0.6096693873405457,0.4001525342464447,-0.012280481867492199,0.6257494688034058,0.355839341878891,-0.021453531458973885,0.6461069583892822,0.3216434121131897,-0.029844556003808975,0.6112890839576721,0.365364134311676,0.004597707185894251,0.5970744490623474,0.3300414979457855,-0.018252341076731682,0.5996297597885132,0.3555377125740051,-0.03487531468272209,0.6049829125404358,0.3871082663536072,-0.04187088832259178,0.6344088315963745,0.3538968563079834,-0.00243322248570621,0.6186956167221069,0.31224745512008667,-0.02687421813607216,0.6186495423316956,0.34693530201911926,-0.03867475315928459,0.6224703192710876,0.3860790729522705,-0.03916795551776886,0.6608530879020691,0.3504860997200012,-0.012479284778237343,0.6497580409049988,0.3287413418292999,-0.03614378347992897,0.6487058997154236,0.37956690788269043,-0.036091774702072144,0.6486777067184448,0.4195440411567688,-0.02755681239068508,0.6890825629234314,0.35483694076538086,-0.023196466267108917,0.6744611263275146,0.33738452196121216,-0.03599056228995323,0.6730268597602844,0.3741888701915741,-0.02977423183619976,0.6745603680610657,0.40344297885894775,-0.020223937928676605
N,0.6770522594451904,0.4685840606689453,-2.545344557347562e-07,0.6327808499336243,0.44370168447494507,-0.0063447547145187855,0.6121542453765869,0.39756110310554504,-0.012436766177415848,0.6288419961929321,0.3533364534378052,-0.021522747352719307,0.6492557525634766,0.3189809024333954,-0.029821600764989853,0.6140559911727905,0.3627612888813019,0.004384211264550686,0.5995882749557495,0.3257966637611389,-0.018377961590886116,0.6018275022506714,0.35126030445098877,-0.034873250871896744,0.6071515679359436,0.38334569334983826,-0.041669249534606934,0.6375513672828674,0.351136714220047,-0.0024379591923207045,0.621725857257843,0.3078201711177826,-0.026344522833824158,0.6208922863006592,0.342478483915329,-0.037835218012332916,0.6240896582603455,0.382196843624115,-0.03806016966700554,0.6641286015510559,0.3479268550872803,-0.012262459844350815,0.6517611742019653,0.32574617862701416,-0.03498978167772293,0.6512062549591064,0.3763071596622467,-0.03441285341978073,0.6517961025238037,0.4156453311443329,-0.02571256086230278,0.6922225952148438,0.3523050844669342,-0.02283206395804882,0.6766549348831177,0.3363434076309204,-0.03469059616327286,0.6745840311050415,0.373276025056839,-0.028042810037732124,0.6756924390792847,0.40180858969688416,-0.018318792805075645
N,0.6709467172622681,0.4701825976371765,-2.6076526182805537e-07,0.62505704164505,0.44504138827323914,-0.006480508949607611,0.602986216545105,0.39801254868507385,-0.013120912946760654,0.6194033026695251,0.35122182965278625,-0.022956619039177895,0.6403300166130066,0.31456026434898376,-0.03177677094936371,0.6032658219337463,0.3605641722679138,0.004187155049294233,0.5874732136726379,0.3232216238975525,-0.019981611520051956,0.5906931757926941,0.35003289580345154,-0.037295881658792496,0.5969766974449158,0.38261470198631287,-0.04446341097354889,0.6280204653739929,0.3487051725387573,-0.0031681496184319258,0.6108529567718506,0.3040321171283722,-0.028939006850123405,0.6113062500953674,0.34038224816322327,-0.04100741073489189,0.6153951287269592,0.38067540526390076,-0.04120972007513046,0.6558158993721008,0.34524300694465637,-0.013659154996275902,0.6440404653549194,0.32451558113098145,-0.03775366023182869,0.6434221863746643,0.37736672163009644,-0.037061963230371475,0.6430108547210693,0.41802364587783813,-0.027857327833771706,0.6848583817481995,0.349274218082428,-0.02492464706301689,0.6699864268302917,0.3323080241680145,-0.036657050251960754,0.6682199239730835,0.3701162040233612,-0.029246218502521515,0.6686369776725769,0.39973822236061096,-0.0189328882843256
N,0.678439199924469,0.4643626809120178,-2.679080921552668e-07,0.6319261789321899,0.4382054805755615,-0.00798742938786745,0.6102861166000366,0.3897773325443268,-0.014216049574315548,0.6263571977615356,0.34233081340789795,-0.02363375760614872,0.6464353203773499,0.3062056601047516,-0.031949203461408615,0.6107873320579529,0.353073388338089,0.005075008608400822,0.5952097773551941,0.3122778534889221,-0.01905069127678871,0.5987116694450378,0.3415678143501282,-0.0359768345952034,0.604790210723877,0.3766554594039917,-0.04244796186685562,0.6351402401924133,0.33993592858314514,-0.001023951219394803,0.618031919002533,0.2931283414363861,-0.026056667789816856,0.6178580522537231,0.33136793971061707,-0.037940025329589844,0.6220377087593079,0.37371283769607544,-0.03778407350182533,0.6625977158546448,0.33570805191993713,-0.010561353527009487,0.6502683162689209,0.3108449876308441,-0.03487037494778633,0.6493570804595947,0.36471027135849,-0.03526480123400688,0.6504973769187927,0.4072982966899872,-0.026371413841843605,0.6910034418106079,0.33998486399650574,-0.020958311855793,0.6770732402801514,0.32259365916252136,-0.03346049413084984,0.6735508441925049,0.359953910112381,-0.02750440128147602,0.6737256050109863,0.390605628490448,-0.01779559813439846
N,0.6833162903785706,0.4583982229232788,-2.657105824255268e-07,0.6388434171676636,0.43089908361434937,-0.010358916595578194,0.6191942691802979,0.3773996829986572,-0.016959326341748238,0.6379145979881287,0.3295508027076721,-0.026320714503526688,0.6613296866416931,0.2953714430332184,-0.03395669907331467,0.6189523935317993,0.3384593427181244,0.0020848456770181656,0.6059568524360657,0.297739177942276,-0.022696534171700478,0.608829915523529,0.3278926610946655,-0.03930717706680298,0.6141141653060913,0.363254189491272,-0.04544656723737717,0.6450487375259399,0.32686907052993774,-0.0029590902850031853,0.6316229104995728,0.27971959114074707,-0.028758257627487183,0.6304479837417603,0.3193787634372711,-0.03942811116576195,0.6335409283638,0.36171814799308777,-0.03838713839650154,0.6731278896331787,0.3255215287208557,-0.011826345697045326,0.6670082807540894,0.30346494913101196,-0.03653949126601219,0.6619908213615417,0.35831525921821594,-0.03626697510480881,0.6593983173370361,0.40124768018722534,-0.026921814307570457,0.7010887861251831,0.33306822180747986,-0.02193419076502323,0.6938455104827881,0.31354936957359314,-0.03425509110093117,0.6869589686393738,0.3483673930168152,-0.028577454388141632,0.6828777194023132,0.37826305627822876,-0.019296715036034584
N,0.7026907801628113,0.45848920941352844,-3.171357718656509e-07,0.6557151675224304,0.4196537137031555,-0.009757011197507381,0.6369520425796509,0.3600277900695801,-0.017842980101704597,0.6597007513046265,0.3126709461212158,-0.028887277469038963,0.6870606541633606,0.2764250338077545,-0.03859768435359001,0.6476191878318787,0.3170372545719147,0.0008584755705669522,0.6352375745773315,0.2724781036376953,-0.026335274800658226,0.6336182355880737,0.3038436472415924,-0.04510475695133209,0.6355763673782349,0.3454590439796448,-0.05237158387899399,0.6766948103904724,0.3096729516983032,-0.00542829092592001,0.6637551784515381,0.2581201493740082,-0.03331144154071808,0.6584702730178833,0.3003322184085846,-0.04549684375524521,0.6584956049919128,0.34961771965026855,-0.045156802982091904,0.7083143591880798,0.313070148229599,-0.015368127264082432,0.6974645256996155,0.2817683815956116,-0.041798464953899384,0.6883240342140198,0.3381009101867676,-0.04108382761478424,0.6836699843406677,0.3861682415008545,-0.031198324635624886,0.7406686544418335,0.3257707953453064,-0.02632308192551136,0.7280400991439819,0.30257436633110046,-0.040948536247015,0.7144738435745239,0.3419763445854187,-0.03470061719417572,0.7057971954345703,0.3774811327457428,-0.02438865415751934
